ev_id,ntsb_no,ev_type,ev_date,ev_dow,ev_time,ev_tmzn,ev_city,ev_state,ev_country,ev_site_zipcode,ev_year,ev_month,mid_air,on_ground_collision,latitude,longitude,latlong_acq,apt_name,ev_nr_apt_id,ev_nr_apt_loc,apt_dist,apt_dir,apt_elev,wx_brief_comp,wx_src_iic,wx_obs_time,wx_obs_dir,wx_obs_fac_id,wx_obs_elev,wx_obs_dist,wx_obs_tmzn,light_cond,sky_cond_nonceil,sky_nonceil_ht,sky_ceil_ht,sky_cond_ceil,vis_rvr,vis_rvv,vis_sm,wx_temp,wx_dew_pt,wind_dir_deg,wind_dir_ind,wind_vel_kts,wind_vel_ind,gust_ind,gust_kts,altimeter,wx_dens_alt,wx_int_precip,metar,ev_highest_injury,inj_f_grnd,inj_m_grnd,inj_s_grnd,inj_tot_f,inj_tot_m,inj_tot_n,inj_tot_s,inj_tot_t,invest_agy,ntsb_docket,ntsb_notf_from,ntsb_notf_date,ntsb_notf_tm,fiche_number,lchg_date,lchg_userid,wx_cond_basic,faa_dist_office,dec_latitude,dec_longitude,_source_file,_ingested_at
20080305X00268,NYC08CA088,ACC,2008-01-30 00:00:00,We,515,UTC,Charlotte,NC,USA,28208,2008,1,N,Y,351250N,0805635W,,Charlotte/Douglas Internationa,CLT,ONAP,0.0,,748,,WFAC,452,0,CLT,748,0,UTC,NITE,SCAT,3800,6000,BKN,,,8.0,52,41,180,U,10,F,T,0,29.690000534057617,,,,NONE,,,,0,0,2,0,2,N,,,,,,2020-09-25 18:04:46,,VMC,,35.21389,-80.943054,avall.mdb,2026-04-14 02:17:37.493608
20080207X00148,MIA08LA048,ACC,2008-01-29 00:00:00,Tu,2223,UTC,Marathon,FL,USA,33050,2008,1,,,245229N,0811348W,MEAS,The Florida Keys Marathon Arpt,MTH,OFAP,5.0,,5,,WFAC,2153,0,MTH,5,0,UTC,DAYL,CLER,0,0,NONE,,,10.0,73,54,140,U,9,F,T,0,30.040000915527344,,,,SERS,,,,0,0,0,2,2,N,,,,,,2020-09-25 18:04:02,,VMC,,24.874721,-81.230003,avall.mdb,2026-04-14 02:17:37.493608
20080212X00178,ENG08IA011,INC,2008-01-31 00:00:00,Th,122,UTC,West Palm Beach,FL,USA,33401,2008,1,,,264059N,0080544W,,,,OFAP,0.0,,,,WFAC,153,0,KPBI,,0,UTC,NITE,CLER,0,0,NONE,,,10.0,72,63,150,U,5,F,T,0,30.1200008392334,,,,MINR,,,,0,6,140,0,146,N,,,,,,2020-09-25 18:04:02,,VMC,,26.683055,-80.095558,avall.mdb,2026-04-14 02:17:37.493608
20080312X00303,MIA08CA049,ACC,2008-01-30 00:00:00,We,2105,UTC,Jefferson,GA,USA,30529,2008,1,,,341019N,0833338W,,Jackson County Airport,19A,ONAP,0.0,,951,,WFAC,2105,0,19A,951,0,UTC,DAYL,CLER,0,0,NONE,,,10.0,52,10,310,U,5,F,T,0,30.030000686645508,,,,SERS,,,,0,0,0,1,1,N,,,,,,2024-11-05 12:31:16,broda,VMC,,34.171943,-83.560554,avall.mdb,2026-04-14 02:17:37.493608
20080318X00326,MIA08CA050,ACC,2008-01-31 00:00:00,Th,2020,UTC,Stafford,VA,USA,22406,2008,1,,,382353N,0772720W,,Stafford Regional Airport,RMN,ONAP,0.0,,211,,WFAC,2020,0,KRMN,211,0,UTC,DAYL,CLER,0,0,NONE,,,10.0,34,61,30,U,3,F,T,0,30.479999542236328,,,,NONE,,,,0,0,2,0,2,N,,,,,,2020-09-25 18:05:31,,VMC,,38.398056,-77.455558,avall.mdb,2026-04-14 02:17:37.493608
20080211X00169,NYC08MA090,ACC,2008-02-01 00:00:00,Fr,1628,UTC,Mount Airy,NC,USA,27030,2008,2,,,362748N,0080333W,EST,Mt. Airy/Surry County Airport,MWK,OFAP,0.0,,1249,,WFAC,1641,0,MWK,1249,0,UTC,DAYL,,300,300,BKN,,,2.0,34,32,0,U,,F,F,0,0.0,,,,FATL,,,,6,0,0,0,6,N,,,,,,2020-09-25 18:07:03,,IMC,,36.463333,-80.550834,avall.mdb,2026-04-14 02:17:37.493608
20080201X00130,LAX08FA052,ACC,2008-01-26 00:00:00,Sa,657,UTC,Los Angeles,CA,USA,90003,2008,1,,,335645N,1181647W,,,,OFAP,0.0,,,,WFAC,653,225,HHR,62,3,UTC,NITE,CLER,0,0,NONE,,,10.0,55,46,100,U,3,F,T,0,30.200000762939453,,,,FATL,,,,1,0,0,0,1,N,,,,,,2020-09-25 18:06:16,,VMC,,33.945835,-118.279724,avall.mdb,2026-04-14 02:17:37.493608
20080211X00172,MIA08MA051,ACC,2008-02-01 00:00:00,Fr,2248,UTC,West Gardiner,ME,USA,4345,2008,2,,,441415N,0069516W,,,,OFAP,0.0,,,,WFAC,2253,207,AUG,352,6,UTC,NDRK,UNK,0,1800,OVC,,,3.0,21,21,20,U,3,F,T,0,30.309999465942383,,,,FATL,,,,2,0,0,0,2,N,,,,,,2020-09-25 18:04:02,,IMC,,44.237499,-69.851669,avall.mdb,2026-04-14 02:17:37.493608
20080305X00264,NYC08CA092,ACC,2008-02-03 00:00:00,Su,1330,UTC,Fruitland Park,FL,USA,34731,2008,2,,,285241N,0815627W,,Flying Palomino Ranch Airport,5FA1,OFAP,0.0,,85,,WFAC,1353,120,LEE,76,7,UTC,DAYL,CLER,0,0,NONE,,,10.0,48,45,0,Y,,T,T,0,30.25,,,,MINR,,,,0,1,0,0,1,N,,,,,,2020-09-25 18:04:02,,VMC,,28.878055,-81.940834,avall.mdb,2026-04-14 02:17:37.493608
20080330X00398,NYC08LA091,ACC,2008-02-01 00:00:00,Fr,2042,UTC,Ft. Lauderdale,FL,USA,33309,2008,2,N,Y,261154N,0801048W,,Fort Lauderdal Executive,FXE,ONAP,0.0,,13,,WFAC,2053,0,FXE,13,0,UTC,DAYL,SCAT,6900,0,NONE,,,10.0,81,59,130,U,10,F,F,0,30.1200008392334,,,,MINR,,1,,0,0,2,0,3,N,,,,,,2020-09-25 18:07:03,,VMC,,26.198333,-80.18,avall.mdb,2026-04-14 02:17:37.493608
