ev_id,ntsb_no,ev_type,ev_date,ev_dow,ev_time,ev_tmzn,ev_city,ev_state,ev_country,ev_site_zipcode,ev_year,ev_month,mid_air,on_ground_collision,latitude,longitude,latlong_acq,apt_name,ev_nr_apt_id,ev_nr_apt_loc,apt_dist,apt_dir,apt_elev,wx_brief_comp,wx_src_iic,wx_obs_time,wx_obs_dir,wx_obs_fac_id,wx_obs_elev,wx_obs_dist,wx_obs_tmzn,light_cond,sky_cond_nonceil,sky_nonceil_ht,sky_ceil_ht,sky_cond_ceil,vis_rvr,vis_rvv,vis_sm,wx_temp,wx_dew_pt,wind_dir_deg,wind_dir_ind,wind_vel_kts,wind_vel_ind,gust_ind,gust_kts,altimeter,wx_dens_alt,wx_int_precip,metar,ev_highest_injury,inj_f_grnd,inj_m_grnd,inj_s_grnd,inj_tot_f,inj_tot_m,inj_tot_n,inj_tot_s,inj_tot_t,invest_agy,ntsb_docket,ntsb_notf_from,ntsb_notf_date,ntsb_notf_tm,fiche_number,lchg_date,lchg_userid,wx_cond_basic,faa_dist_office,dec_latitude,dec_longitude,_source_file,_ingested_at
20001206X01641,ANC94LA081,ACC,1994-07-13 00:00:00,We,615,UTC,NEWTOK,AK,USA,99559,1994,7,,,604839N,0161512W,MEAS,,,OFAP,0.0,,,,,,0,,,0,,DAYL,CLER,0,0,NONE,,,40.0,61,0,45,U,5,F,T,0,0.0,,,,NONE,0,0,0,0,0,1,0,1,N,,,,,,2021-09-20 15:27:05,,VMC,,60.810863,-161.850662,Pre2008.mdb,2026-04-14 02:18:25.664087
20001206X01642,ANC94LA082,ACC,1994-07-16 00:00:00,Sa,725,UTC,KENAI,AK,USA,99611,1994,7,,,603937N,0150543W,MEAS,,,OFAP,0.0,,,,PILO,,0,,,0,,DAYL,CLER,0,0,NONE,,,50.0,55,0,0,U,,F,T,0,30.0,,,,NONE,0,0,0,0,0,3,0,3,N,,,,,,2021-09-20 15:27:06,,VMC,,60.660182,-150.900955,Pre2008.mdb,2026-04-14 02:18:25.664087
20001206X01643,ANC94LA083,ACC,1994-07-16 00:00:00,Sa,2000,UTC,NOATAK,AK,USA,99761,1994,7,,,673411N,0016300W,MEAS,,,OFAP,0.0,,,,,,0,,,0,,DAYL,UNK,0,10000,BKN,,,90.0,75,0,270,U,11,F,F,0,29.0,,,,NONE,0,0,0,0,0,2,0,2,N,,,,,,2021-12-15 20:41:05,,VMC,,67.569686,-162.999908,Pre2008.mdb,2026-04-14 02:18:25.664087
20001206X01644,ANC94LA084,ACC,1994-07-16 00:00:00,Sa,1730,UTC,TALKEETNA,AK,USA,99676,1994,7,,,622659N,1494721W,MEAS,HIGH LAKE LODGE AIRSTRIP,,ONAP,0.0,,2300,,PILO,,0,,,0,,DAYL,SCAT,5000,0,NONE,,,50.0,64,0,270,U,5,F,F,0,0.0,,,,NONE,0,0,0,0,0,3,0,3,N,,,,,,2021-12-15 20:41:06,,VMC,,62.449596,-149.789169,Pre2008.mdb,2026-04-14 02:18:25.664087
20001206X01645,ANC94LA086,ACC,1994-07-18 00:00:00,Mo,450,UTC,PALMER,AK,USA,99645,1994,7,,,613715N,1485850W,MEAS,PALMER,PAQ,ONAP,0.0,,232,,,2350,0,PAQ,232,0,UTC,DAYL,SCAT,3000,0,NONE,,,30.0,61,39,120,U,8,F,F,0,29.0,,,,NONE,0,0,0,0,0,1,0,1,N,,,,,,2021-12-15 20:41:07,,VMC,,61.620922,-148.980529,Pre2008.mdb,2026-04-14 02:18:25.664087
20001206X01646,ANC94LA088,ACC,1994-07-18 00:00:00,Mo,2045,UTC,ANCHORAGE,AK,USA,99513,1994,7,,,611236N,1495327W,MEAS,,,OFAP,0.0,,,,PILO,1430,0,ENA,,0,UTC,DAYL,UNK,5000,5000,BKN,,,35.0,55,0,90,U,7,F,F,10,0.0,,,,NONE,0,0,0,0,0,3,0,3,N,,,,,,2021-09-20 15:27:06,,VMC,,61.210006,-149.890792,Pre2008.mdb,2026-04-14 02:18:25.664087
20001206X01647,ANC94LA090,ACC,1994-07-17 00:00:00,Su,1830,UTC,FAIRBANKS,AK,USA,99701,1994,7,,,644836N,1474314W,MEAS,,,OFAP,0.0,,,,PILO,,0,,,0,,DAYL,CLER,0,0,NONE,,,60.0,64,0,45,U,15,F,F,25,0.0,,,,MINR,0,0,0,0,1,1,0,2,N,,,,,,2021-09-20 15:27:07,,VMC,,64.809997,-147.720474,Pre2008.mdb,2026-04-14 02:18:25.664087
20001206X01648,ANC94LA091,ACC,1994-07-21 00:00:00,Th,2345,UTC,HAINES,AK,USA,99827,1994,7,,,059939N,1355136W,MEAS,,,OFAP,0.0,,,,PILO,,0,,,0,,DAYL,CLER,0,0,NONE,,,6.0,16,0,225,U,5,F,T,0,0.0,,,,NONE,0,0,0,0,0,7,0,7,N,,,,,,2021-09-20 15:27:07,,VMC,,59.160797,-135.860107,Pre2008.mdb,2026-04-14 02:18:25.664087
20001206X01649,ANC94LA092,ACC,1994-07-24 00:00:00,Su,1740,UTC,ANCHORAGE,AK,USA,99513,1994,7,,,611234N,1495328W,MEAS,,,OFAP,0.0,,,,PILO,,0,EEN,,0,,DAYL,CLER,0,0,NONE,,,75.0,64,0,0,U,,F,T,0,0.0,,,,NONE,0,0,0,0,0,2,0,2,N,,,,,,2021-09-20 15:27:08,,VMC,,61.209434,-149.890975,Pre2008.mdb,2026-04-14 02:18:25.664087
20001206X01650,ANC94LA093,ACC,1994-07-23 00:00:00,Sa,2130,UTC,MELOZZI HOT SPS,AK,USA,99777,1994,7,,,651047N,0152413W,MEAS,MELOZI HOT SPRINGS,,ONAP,0.0,,900,,PILO,,0,,,0,,DAYL,SCAT,6000,0,NONE,,,50.0,61,0,90,U,10,F,T,0,29.0,,,,NONE,0,0,0,0,0,2,0,2,N,,,,,,2021-09-20 15:27:08,,VMC,,65.179634,-152.070404,Pre2008.mdb,2026-04-14 02:18:25.664087
