ev_id,ev_type,ev_date,event_year,event_month,ev_city,ev_state,ev_country,ev_highest_injury,light_cond,wx_cond_basic,vis_sm,wind_vel_kts,fatalities,serious_injuries,minor_injuries,uninjured,dec_latitude,dec_longitude,injury_score,weather_category,source_era
20080528X00739,ACC,2008-05-02 00:00:00,2008,5,Libby,MT,USA,MINR,DAYL,VMC,10.0,7,0,0,1,0,48.283889,-115.49028,2,VMC,avall
20080506X00609,ACC,2008-05-03 00:00:00,2008,5,Phoenix,AZ,USA,SERS,DAYL,VMC,10.0,4,0,1,2,1,33.7975,-112.136947,3,VMC,avall
20080512X00649,ACC,2008-05-04 00:00:00,2008,5,Jekyll Island,GA,USA,FATL,DAYL,VMC,10.0,,1,0,0,0,31.071388,-81.423332,4,VMC,avall
20080505X00595,ACC,2008-05-02 00:00:00,2008,5,Rumbek,,SU,FATL,,,,,20,0,0,0,,,4,UNKNOWN,avall
20080611X00834,INC,2008-05-01 00:00:00,2008,5,Uvalde,TX,USA,NONE,DAYL,VMC,10.0,5,0,0,0,4,29.209289,-99.780189,1,VMC,avall
20080626X00921,ACC,2008-05-03 00:00:00,2008,5,Wagner,OK,USA,MINR,DAYL,VMC,10.0,14,0,0,2,0,35.961112,-95.341941,2,VMC,avall
20080529X00748,ACC,2008-04-28 00:00:00,2008,4,Cleburne,TX,USA,NONE,DAYL,VMC,,,0,0,0,2,32.35361,-97.433609,1,VMC,avall
20080528X00735,ACC,2008-05-02 00:00:00,2008,5,Ilheua,,BR,FATL,,,,,6,0,0,0,,,4,UNKNOWN,avall
20080506X00600,ACC,2008-04-25 00:00:00,2008,4,Baton Rouge,LA,USA,NONE,DAYL,VMC,10.0,6,0,0,0,6,30.532777,-91.149719,1,VMC,avall
20080527X00728,ACC,2008-05-05 00:00:00,2008,5,Mountain Grove,MO,USA,MINR,DAYL,VMC,,,0,0,1,0,37.120555,-92.311111,2,VMC,avall
