ev_id,aircraft_key,regis_no,far_part,damage,make_raw,model_raw,acft_series,manufacturer,model_family,model_full,acft_category,num_eng,total_seats,cert_max_gr_wt,acft_year,oper_name,oper_sched,oper_pax_cargo,type_fly,afm_hrs,second_pilot,damage_score,source_era
20001211X15973,1,N67941,135,DEST,CESSNA,402C,402C,CESSNA,402,CESSNA 402,AIR,2,10,6850,,BAKER AVIATION INC.,SCHD,PACA,UNK,7971.0,N,4,pre2008
20001211X12053,1,N6467H,135,DEST,CESSNA,207,207,CESSNA,207,CESSNA 207,AIR,1,2,3800,,"RYAN AIR SERVICE, INC",SCHD,PACA,UNK,11854.0,N,4,pre2008
20001211X12259,1,N5060F,135,SUBS,FAIRCHILD,FH-1100,FH-1100,FAIRCHILD,1100,FAIRCHILD 1100,HELI,1,4,2750,,"SEA HAWK, INC.",NSCH,PAX,UNK,2759.0,N,3,pre2008
20001211X12737,1,N124KT,135,DEST,CESSNA,A185F,A185F,CESSNA,A185,CESSNA A185,AIR,1,5,3350,,JAMES OKONEK,NSCH,PAX,UNK,4408.0,N,4,pre2008
20001211X13021,1,N321KA,135,DEST,DE HAVILLAND,DHC-3,DHC-3,DEHAVILLAND,3,DEHAVILLAND 3,AIR,1,11,8000,,KETCHUM AIR SERVICE INC.,NSCH,PACA,UNK,7200.0,,4,pre2008
20001211X13280,1,N7541K,135,SUBS,CESSNA,180,180,CESSNA,180,CESSNA 180,AIR,1,4,3190,,SIXTY-THIRTY NORTH,NSCH,PAX,,3253.0,N,3,pre2008
20001211X12497,1,N4672U,135,MINR,CESSNA,206,206,CESSNA,206,CESSNA 206,AIR,1,6,3600,,JIM AIR,NSCH,PAX,UNK,5567.0,N,2,pre2008
20001211X12739,1,N9984M,135,MINR,CESSNA,207,207,CESSNA,207,CESSNA 207,AIR,1,7,3800,,,SCHD,PACA,UNK,,N,2,pre2008
20001211X13284,1,N629US,121,MINR,BOEING,747-200,747-200,BOEING,747,BOEING 747,AIR,4,286,750000,,"NORTHWEST AIRLINES, INC",SCHD,CARG,UNK,,N,2,pre2008
20001211X12056,1,N13147,135,SUBS,CESSNA,172M,172M,CESSNA,172,CESSNA 172,AIR,1,4,2300,,YUTE AIR ALASKA,SCHD,PAX,UNK,5223.0,N,3,pre2008
20001211X12264,1,N6332D,135,SUBS,CESSNA,172,172,CESSNA,172,CESSNA 172,AIR,1,4,2300,,,NSCH,PAX,UNK,,N,3,pre2008
